万寿西宫,26,27
怀柔镇,21,60,2016-12-09T18:00:00Z
昌平镇,25,78,2016-12-09T18:00:00Z
奥体中心,30,78,2016-12-09T18:00:00Z
古城,35,77,2016-12-09T18:00:00Z
None,29,67,2016-12-09T18:00:00Z
########## pulling at: 2016-12-09 19:29:15 ########## 

万寿西宫,35,82,2016-12-09T19:00:00Z
定陵,12,39,2016-12-09T19:00:00Z
东四,30,65,2016-12-09T19:00:00Z
天坛,38,75,2016-12-09T19:00:00Z
农展馆,34,79,2016-12-09T19:00:00Z
官园,39,75,2016-12-09T19:00:00Z
海淀区万柳,47,81,2016-12-09T19:00:00Z
顺义新城,25,92,2016-12-09T19:00:00Z
怀柔镇,23,53,2016-12-09T19:00:00Z
昌平镇,27,78,2016-12-09T19:00:00Z
奥体中心,32,81,2016-12-09T19:00:00Z
古城,38,78,2016-12-09T19:00:00Z
None,31,73,2016-12-09T19:00:00Z
########## pulling at: 2016-12-09 19:59:15 ########## 

万寿西宫,35,82,2016-12-09T19:00:00Z
定陵,12,39,2016-12-09T19:00:00Z
东四,30,65,2016-12-09T19:00:00Z
天坛,38,75,2016-12-09T19:00:00Z
农展馆,34,79,2016-12-09T19:00:00Z
官园,39,75,2016-12-09T19:00:00Z
海淀区万柳,47,81,2016-12-09T19:00:00Z
顺义新城,25,92,2016-12-09T19:00:00Z
怀柔镇,23,53,2016-12-09T19:00:00Z
昌平镇,27,78,2016-12-09T19:00:00Z
奥体中心,32,81,2016-12-09T19:00:00Z
古城,38,78,2016-12-09T19:00:00Z
None,31,73,2016-12-09T19:00:00Z
########## pulling at: 2016-12-09 20:29:15 ########## 

万寿西宫,37,79,2016-12-09T20:00:00Z
定陵,14,46,2016-12-09T20:00:00Z
东四,31,66,2016-12-09T20:00:00Z
天坛,39,72,2016-12-09T20:00:00Z
农展馆,36,79,2016-12-09T20:00:00Z
官园,40,74,2016-12-09T20:00:00Z
海淀区万柳,49,79,2016-12-09T20:00:00Z
顺义新城,28,92,2016-12-09T20:00:00Z
怀柔镇,23,24,2016-12-09T20:00:00Z
昌平镇,29,63,2016-12-09T20:00:00Z
奥体中心,34,80,2016-12-09T20:00:00Z
古城,41,76,2016-12-09T20:00:00Z
None,33,69,2016-12-09T20:00:00Z
########## pulling at: 2016-12-09 20:59:15 ########## 

万寿西宫,37,79,2016-12-09T20:00:00Z
定陵,14,46,2016-12-09T20:00:00Z
东四,31,66,2016-12-09T20:00:00Z
天坛,39,72,2016-12-09T20:00:00Z
农展馆,36,79,2016-12-09T20:00:00Z
官园,40,74,2016-12-09T20:00:00Z
海淀区万柳,49,79,2016-12-09T20:00:00Z
顺义新城,28,92,2016-12-09T20:00:00Z
怀柔镇,23,24,2016-12-09T20:00:00Z
昌平镇,29,63,2016-12-09T20:00:00Z
奥体中心,34,80,2016-12-09T20:00:00Z
古城,41,76,2016-12-09T20:00:00Z
None,33,69,2016-12-09T20:00:00Z
########## pulling at: 2016-12-09 21:29:15 ########## 

万寿西宫,39,77,2016-12-09T21:00:00Z
定陵,16,43,2016-12-09T21:00:00Z
东四,33,63,2016-12-09T21:00:00Z
天坛,41,72,2016-12-09T21:00:00Z
农展馆,38,76,2016-12-09T21:00:00Z
官园,42,73,2016-12-09T21:00:00Z
海淀区万柳,50,76,2016-12-09T21:00:00Z
顺义新城,32,94,2016-12-09T21:00:00Z
怀柔镇,24,17,2016-12-09T21:00:00Z
昌平镇,30,50,2016-12-09T21:00:00Z
奥体中心,36,78,2016-12-09T21:00:00Z
古城,43,76,2016-12-09T21:00:00Z
None,35,66,2016-12-09T21:00:00Z
########## pulling at: 2016-12-09 21:59:15 ########## 

万寿西宫,39,77,2016-12-09T21:00:00Z
定陵,16,43,2016-12-09T21:00:00Z
东四,33,63,2016-12-09T21:00:00Z
天坛,41,72,2016-12-09T21:00:00Z
农展馆,38,76,2016-12-09T21:00:00Z
官园,42,73,2016-12-09T21:00:00Z
海淀区万柳,50,76,2016-12-09T21:00:00Z
顺义新城,32,94,2016-12-09T21:00:00Z
怀柔镇,24,17,2016-12-09T21:00:00Z
昌平镇,30,50,2016-12-09T21:00:00Z
奥体中心,36,78,2016-12-09T21:00:00Z
古城,43,76,2016-12-09T21:00:00Z
None,35,66,2016-12-09T21:00:00Z
########## pulling at: 2016-12-09 22:29:15 ########## 

万寿西宫,39,77,2016-12-09T21:00:00Z
定陵,16,43,2016-12-09T21:00:00Z
东四,33,63,2016-12-09T21:00:00Z
天坛,41,72,2016-12-09T21:00:00Z
农展馆,38,76,2016-12-09T21:00:00Z
官园,42,73,2016-12-09T21:00:00Z
海淀区万柳,50,76,2016-12-09T21:00:00Z
顺义新城,32,94,2016-12-09T21:00:00Z
怀柔镇,24,17,2016-12-09T21:00:00Z
昌平镇,30,50,2016-12-09T21:00:00Z
奥体中心,36,78,2016-12-09T21:00:00Z
古城,43,76,2016-12-09T21:00:00Z
None,35,66,2016-12-09T21:00:00Z
########## pulling at: 2016-12-09 22:59:15 ########## 

万寿西宫,41,79,2016-12-09T22:00:00Z
定陵,17,36,2016-12-09T22:00:00Z
东四,34,64,2016-12-09T22:00:00Z
天坛,42,67,2016-12-09T22:00:00Z
农展馆,40,75,2016-12-09T22:00:00Z
官园,43,72,2016-12-09T22:00:00Z
海淀区万柳,52,76,2016-12-09T22:00:00Z
顺义新城,35,98,2016-12-09T22:00:00Z
怀柔镇,24,18,2016-12-09T22:00:00Z
昌平镇,32,56,2016-12-09T22:00:00Z
奥体中心,38,77,2016-12-09T22:00:00Z
古城,45,70,2016-12-09T22:00:00Z
None,36,65,2016-12-09T22:00:00Z
########## pulling at: 2016-12-09 23:29:15 ########## 

万寿西宫,44,78,2016-12-09T23:00:00Z
定陵,19,40,2016-12-09T23:00:00Z
东四,36,62,2016-12-09T23:00:00Z
天坛,44,66,2016-12-09T23:00:00Z
农展馆,42,76,2016-12-09T23:00:00Z
官园,45,72,2016-12-09T23:00:00Z
海淀区万柳,54,78,2016-12-09T23:00:00Z
顺义新城,38,87,2016-12-09T23:00:00Z
怀柔镇,25,37,2016-12-09T23:00:00Z
昌平镇,34,59,2016-12-09T23:00:00Z
奥体中心,41,79,2016-12-09T23:00:00Z
古城,46,64,2016-12-09T23:00:00Z
None,39,66,2016-12-09T23:00:00Z
########## pulling at: 2016-12-09 23:59:15 ########## 

万寿西宫,44,78,2016-12-09T23:00:00Z
定陵,19,40,2016-12-09T23:00:00Z
东四,36,62,2016-12-09T23:00:00Z
天坛,44,66,2016-12-09T23:00:00Z
农展馆,42,76,2016-12-09T23:00:00Z
官园,45,72,2016-12-09T23:00:00Z
海淀区万柳,54,78,2016-12-09T23:00:00Z
顺义新城,38,87,2016-12-09T23:00:00Z
怀柔镇,25,37,2016-12-09T23:00:00Z
昌平镇,34,59,2016-12-09T23:00:00Z
奥体中心,41,79,2016-12-09T23:00:00Z
古城,46,64,2016-12-09T23:00:00Z
None,39,66,2016-12-09T23:00:00Z
########## pulling at: 2016-12-10 00:29:15 ########## 

万寿西宫,46,78,2016-12-10T00:00:00Z
定陵,20,42,2016-12-10T00:00:00Z
东四,38,63,2016-12-10T00:00:00Z
天坛,46,60,2016-12-10T00:00:00Z
农展馆,45,76,2016-12-10T00:00:00Z
官园,47,72,2016-12-10T00:00:00Z
海淀区万柳,56,79,2016-12-10T00:00:00Z
顺义新城,41,78,2016-12-10T00:00:00Z
怀柔镇,25,20,2016-12-10T00:00:00Z
昌平镇,35,57,2016-12-10T00:00:00Z
奥体中心,43,81,2016-12-10T00:00:00Z
古城,47,63,2016-12-10T00:00:00Z
None,40,64,2016-12-10T00:00:00Z
########## pulling at: 2016-12-10 00:59:15 ########## 

万寿西宫,46,78,2016-12-10T00:00:00Z
定陵,20,42,2016-12-10T00:00:00Z
东四,38,63,2016-12-10T00:00:00Z
天坛,46,60,2016-12-10T00:00:00Z
农展馆,45,76,2016-12-10T00:00:00Z
官园,47,72,2016-12-10T00:00:00Z
海淀区万柳,56,79,2016-12-10T00:00:00Z
顺义新城,41,78,2016-12-10T00:00:00Z
怀柔镇,25,20,2016-12-10T00:00:00Z
昌平镇,35,57,2016-12-10T00:00:00Z
奥体中心,43,81,2016-12-10T00:00:00Z
古城,47,63,2016-12-10T00:00:00Z
None,40,64,2016-12-10T00:00:00Z
########## pulling at: 2016-12-10 01:29:15 ########## 

万寿西宫,49,83,2016-12-10T01:00:00Z
定陵,21,29,2016-12-10T01:00:00Z
东四,40,69,2016-12-10T01:00:00Z
天坛,47,62,2016-12-10T01:00:00Z
农展馆,47,80,2016-12-10T01:00:00Z
官园,49,70,2016-12-10T01:00:00Z
海淀区万柳,57,77,2016-12-10T01:00:00Z
顺义新城,43,71,2016-12-10T01:00:00Z
怀柔镇,26,14,2016-12-10T01:00:00Z
昌平镇,37,60,2016-12-10T01:00:00Z
奥体中心,46,90,2016-12-10T01:00:00Z
古城,48,48,2016-12-10T01:00:00Z
None,42,62,2016-12-10T01:00:00Z
########## pulling at: 2016-12-10 01:59:15 ########## 

万寿西宫,49,83,2016-12-10T01:00:00Z
定陵,21,29,2016-12-10T01:00:00Z
东四,40,69,2016-12-10T01:00:00Z
天坛,47,62,2016-12-10T01:00:00Z
农展馆,47,80,2016-12-10T01:00:00Z
官园,49,70,2016-12-10T01:00:00Z
海淀区万柳,57,77,2016-12-10T01:00:00Z
顺义新城,43,71,2016-12-10T01:00:00Z
怀柔镇,26,14,2016-12-10T01:00:00Z
昌平镇,37,60,2016-12-10T01:00:00Z
奥体中心,46,90,2016-12-10T01:00:00Z
古城,48,48,2016-12-10T01:00:00Z
None,42,62,2016-12-10T01:00:00Z
########## pulling at: 2016-12-10 02:29:15 ########## 

万寿西宫,51,80,2016-12-10T02:00:00Z
定陵,22,28,2016-12-10T02:00:00Z
东四,43,81,2016-12-10T02:00:00Z
天坛,49,64,2016-12-10T02:00:00Z
农展馆,50,94,2016-12-10T02:00:00Z
官园,50,67,2016-12-10T02:00:00Z
海淀区万柳,58,76,2016-12-10T02:00:00Z
顺义新城,44,63,2016-12-10T02:00:00Z
怀柔镇,26,13,2016-12-10T02:00:00Z
昌平镇,39,54,2016-12-10T02:00:00Z
奥体中心,0,0,2016-12-10T02:00:00Z
古城,48,48,2016-12-10T02:00:00Z
None,43,60,2016-12-10T02:00:00Z
########## pulling at: 2016-12-10 02:59:15 ########## 

万寿西宫,51,80,2016-12-10T02:00:00Z
定陵,22,28,2016-12-10T02:00:00Z
东四,43,81,2016-12-10T02:00:00Z
天坛,49,64,2016-12-10T02:00:00Z
农展馆,50,94,2016-12-10T02:00:00Z
官园,50,67,2016-12-10T02:00:00Z
海淀区万柳,58,76,2016-12-10T02:00:00Z
顺义新城,44,63,2016-12-10T02:00:00Z
怀柔镇,26,13,2016-12-10T02:00:00Z
昌平镇,39,54,2016-12-10T02:00:00Z
奥体中心,0,0,2016-12-10T02:00:00Z
古城,48,48,2016-12-10T02:00:00Z
None,43,60,2016-12-10T02:00:00Z
########## pulling at: 2016-12-10 03:29:16 ########## 

万寿西宫,53,77,2016-12-10T03:00:00Z
定陵,23,26,2016-12-10T03:00:00Z
东四,45,83,2016-12-10T03:00:00Z
天坛,51,74,2016-12-10T03:00:00Z
农展馆,52,89,2016-12-10T03:00:00Z
官园,52,70,2016-12-10T03:00:00Z
海淀区万柳,58,73,2016-12-10T03:00:00Z
顺义新城,45,60,2016-12-10T03:00:00Z
怀柔镇,25,12,2016-12-10T03:00:00Z
昌平镇,40,49,2016-12-10T03:00:00Z
奥体中心,49,79,2016-12-10T03:00:00Z
古城,48,37,2016-12-10T03:00:00Z
None,45,60,2016-12-10T03:00:00Z
########## pulling at: 2016-12-10 03:59:15 ########## 

万寿西宫,53,77,2016-12-10T03:00:00Z
定陵,23,26,2016-12-10T03:00:00Z
东四,45,83,2016-12-10T03:00:00Z
天坛,51,74,2016-12-10T03:00:00Z
